50.000,0.050
100.000,0.040
150.000,0.050
200.000,0.045
250.000,0.046
300.000,0.042
350.000,0.044
400.000,0.034
450.000,0.034
500.000,0.034
550.000,0.034
600.000,0.034
650.000,0.038
700.000,0.042
750.000,0.046
800.000,0.046
850.000,0.044
900.000,0.040
950.000,0.040
1000.000,0.032
1050.000,0.034
1100.000,0.038
1150.000,0.044
1200.000,0.048
1250.000,0.054
1300.000,0.050
1350.000,0.044
1400.000,0.038
1450.000,0.032
1500.000,0.028
1550.000,0.036
1600.000,0.040
1650.000,0.046
1700.000,0.050
1750.000,0.056
1800.000,0.060
1850.000,0.064
1900.000,0.054
1950.000,0.050
2000.000,0.036
2050.000,0.036
2100.000,0.032
2150.000,0.040
2200.000,0.044
2250.000,0.052
2300.000,0.044
2350.000,0.040
2400.000,0.050
2450.000,0.054
2500.000,0.052
2550.000,0.054
2600.000,0.060
2650.000,0.050
2700.000,0.046
2750.000,0.050
2800.000,0.046
2850.000,0.052
2900.000,0.058
2950.000,0.058
3000.000,0.056
3050.000,0.060
3100.000,0.054
3150.000,0.052
3200.000,0.060
3250.000,0.066
3300.000,0.066
3350.000,0.074
3400.000,0.070
3450.000,0.056
3500.000,0.050
3550.000,0.046
3600.000,0.032
3650.000,0.034
3700.000,0.034
3750.000,0.036
3800.000,0.046
3850.000,0.050
3900.000,0.046
3950.000,0.048
4000.000,0.052
4050.000,0.044
4100.000,0.046
4150.000,0.050
4200.000,0.048
4250.000,0.040
4300.000,0.034
4350.000,0.032
4400.000,0.034
4450.000,0.042
4500.000,0.040
4550.000,0.048
4600.000,0.042
4650.000,0.040
4700.000,0.026
4750.000,0.030
4800.000,0.032
4850.000,0.034
4900.000,0.026
4950.000,0.034
5000.000,0.034
5050.000,0.026
5100.000,0.024
5150.000,0.022
5200.000,0.022
5250.000,0.026
5300.000,0.024
5350.000,0.028
5400.000,0.032
5450.000,0.028
5500.000,0.024
5550.000,0.032
5600.000,0.034
5650.000,0.036
5700.000,0.048
5750.000,0.050
5800.000,0.046
5850.000,0.042
5900.000,0.042
5950.000,0.028
6000.000,0.022
6050.000,0.020
6100.000,0.026
6150.000,0.026
6200.000,0.028
6250.000,0.036
6300.000,0.038
6350.000,0.038
6400.000,0.036
6450.000,0.036
6500.000,0.030
6550.000,0.036
6600.000,0.032
6650.000,0.032
6700.000,0.034
6750.000,0.040
6800.000,0.032
6850.000,0.028
6900.000,0.030
6950.000,0.028
7000.000,0.016
7050.000,0.022
7100.000,0.026
7150.000,0.028
7200.000,0.028
7250.000,0.034
7300.000,0.032
7350.000,0.028
7400.000,0.020
7450.000,0.024
7500.000,0.024
7550.000,0.022
7600.000,0.032
7650.000,0.044
7700.000,0.040
7750.000,0.042
7800.000,0.042
7850.000,0.038
7900.000,0.032
7950.000,0.042
8000.000,0.042
8050.000,0.048
8100.000,0.050
8150.000,0.048
8200.000,0.042
8250.000,0.040
8300.000,0.044
8350.000,0.038
8400.000,0.038
8450.000,0.042
8500.000,0.042
8550.000,0.036
8600.000,0.040
8650.000,0.040
8700.000,0.034
8750.000,0.034
8800.000,0.028
8850.000,0.028
8900.000,0.032
8950.000,0.040
9000.000,0.044
9050.000,0.044
9100.000,0.036
9150.000,0.034
9200.000,0.030
9250.000,0.030
9300.000,0.040
9350.000,0.042
9400.000,0.040
9450.000,0.038
9500.000,0.030
9550.000,0.026
9600.000,0.032
9650.000,0.046
9700.000,0.046
9750.000,0.056
9800.000,0.060
9850.000,0.058
9900.000,0.050
9950.000,0.046
10000.000,0.046
10050.000,0.038
10100.000,0.038
10150.000,0.038
10200.000,0.048
10250.000,0.040
10300.000,0.042
10350.000,0.042
10400.000,0.040
10450.000,0.032
10500.000,0.040
10550.000,0.036
10600.000,0.034
10650.000,0.036
10700.000,0.042
10750.000,0.042
10800.000,0.048
10850.000,0.056
10900.000,0.054
10950.000,0.052
11000.000,0.044
11050.000,0.042
11100.000,0.036
11150.000,0.032
11200.000,0.032
11250.000,0.036
11300.000,0.034
11350.000,0.044
11400.000,0.044
11450.000,0.046
11500.000,0.054
11550.000,0.054
11600.000,0.040
11650.000,0.046
11700.000,0.042
11750.000,0.044
11800.000,0.052
